"","x"
"875",-0.940625
"876",-0.95
"877",-0.845238095238095
"878",-0.778571428571429
"879",-0.938571428571429
"880",-0.916071428571429
"881",-0.811904761904762
"882",-0.778571428571429
"883",-0.909821428571429
"884",-0.653571428571429
"885",-0.911904761904762
"886",-1
"887",-1.01919642857143
"888",-1.02857142857143
"889",-0.883333333333334
"890",-1.04333333333333
"891",-1.02083333333333
"892",-0.916666666666667
"893",-0.883333333333334
"894",-1.01458333333333
"895",-0.758333333333334
"896",-1.01666666666667
"897",-1.10476190476191
"898",-1.12395833333333
"899",-1.13333333333333
"900",-0.91
"901",-0.8875
"902",-0.783333333333334
"903",-0.75
"904",-0.88125
"905",-0.625
"906",-0.883333333333334
"907",-0.971428571428572
"908",-0.990625
"909",-1
"910",-1.2075
"911",-1.10333333333333
"912",-1.07
"913",-1.20125
"914",-0.945
"915",-1.20333333333333
"916",-1.29142857142857
"917",-1.310625
"918",-1.32
"919",-1.05833333333333
"920",-1.025
"921",-1.15625
"922",-0.9
"923",-1.15833333333333
"924",-1.24642857142857
"925",-1.265625
"926",-1.275
"927",-0.816666666666667
"928",-0.947916666666667
"929",-0.691666666666667
"930",-0.95
"931",-1.03809523809524
"932",-1.05729166666667
"933",-1.06666666666667
"934",-0.88125
"935",-0.625
"936",-0.883333333333334
"937",-0.971428571428572
"938",-0.990625
"939",-1
"940",-0.8875
"941",-1.14583333333333
"942",-1.23392857142857
"943",-1.253125
"944",-1.2625
"945",-0.633333333333334
"946",-0.721428571428572
"947",-0.740625
"948",-0.75
"949",-1.23809523809524
"950",-1.25729166666667
"951",-1.26666666666667
"952",-1.43348214285714
"953",-1.44285714285714
"954",-1.48125
"955",-0.466916666666667
"956",-0.644694444444445
"957",-0.644694444444445
"958",-0.657194444444445
"959",-0.866916666666667
"960",-0.882194444444445
"961",-0.544694444444445
"962",-0.694694444444445
"963",-0.511361111111111
"964",-1.14469444444444
"965",-1.24469444444444
"966",-1.06136111111111
"967",-0.644694444444445
"968",-1.26969444444444
"969",-0.844694444444445
"970",-1.09469444444444
"971",-1.34469444444444
"972",-1.44469444444444
"973",-0.0666666666666667
"974",-0.0666666666666667
"975",-0.0729166666666665
"976",-0.177777777777778
"977",-0.185416666666667
"978",-0.0166666666666666
"979",-0.0916666666666666
"980",0
"981",-0.316666666666667
"982",-0.366666666666667
"983",-0.275
"984",-0.0666666666666667
